Target_Symbol,CoinGecko_ID,CoinGecko_Name,Status
BTC,batcat,batcat,Matched
ETH,bifrost-bridged-eth-bifrost,Bifrost Bridged ETH (Bifrost),Matched
XRP,binance-peg-xrp,Binance-Peg XRP,Matched
BNB,bifrost-bridged-bnb-bifrost,Bifrost Bridged BNB (Bifrost),Matched
SOL,allbridge-bridged-sol-near-protocol,Allbridge Bridged SOL (Near Protocol),Matched
TOMI,tominet,TOMI,Matched
HYPE,harrypotterhypermarioliquidfentjeffspectrum47i,HarryPotterHyperMarioLiquidFentJeffSpectrum47i,Matched
STETH,staked-ether,Lido Staked Ether,Matched
TRX,layerzero-bridged-trx-avalanche,LayerZero Bridged TRX (Avalanche),Matched
DOGE,binance-peg-dogecoin,Binance-Peg Dogecoin,Matched
ADA,binance-peg-cardano,Binance-Peg Cardano,Matched
SUI,sui,Sui,Matched
WBT,whitebit,WhiteBIT Coin,Matched
LINK,chainlink,Chainlink,Matched
XLM,stellar,Stellar,Matched
WBTC,arbitrum-bridged-wbtc-arbitrum-one,Arbitrum Bridged WBTC (Arbitrum One),Matched
CRO,cronos-zkevm-bridged-cro-cronos-zkevm,Cronos zkEVM Bridged CRO (Cronos zkEVM),Matched
WBETH,wrapped-beacon-eth,Wrapped Beacon ETH,Matched
WLFI,stupid-world-liberty-financial,Stupid World Liberty Financial,Matched
M,m-2,M by M0,Matched
TON,tac-bridged-ton-tac,TAC Bridged TON (TAC),Matched
BCH,binance-peg-bitcoin-cash,Binance-Peg Bitcoin Cash,Matched
USDE,energi-dollar,Energi Dollar,Matched
HBAR,hedera-hashgraph,Hedera,Matched
LEO,leo-2,Leo,Matched
ASTER,aster-2,Aster,Matched
AVAX,avalanche-2,Avalanche,Matched
MANTLE,,,Not_Matched
WLD,worldcoin-wld,Worldcoin,Matched
TRUMP,bridged-maga-wormhole,Bridged MAGA (Wormhole),Matched
LTC,binance-peg-litecoin,Binance-Peg Litecoin,Matched
ONDO,ondo-finance,Ondo,Matched
XMR,monero,Monero,Matched
ZEC,binance-peg-zcash-token,Binance-Peg ZEC,Matched
XT,xtcom-token,XT.com,Matched
SHIB,binance-peg-shib,Binance-Peg SHIB,Matched
ENA,ethena,Ethena,Matched
UNI,linea-bridged-uni-linea,Linea Bridged UNI (Linea),Matched
TAO,bittensor,Bittensor,Matched
DOT,binance-peg-polkadot,Binance-Peg Polkadot,Matched
IP,story-2,Story,Matched
PUMP,big-pump,Big Pump,Matched
VINCI,,,Not_Matched
BGB,bitget-token,Bitget Token,Matched
APT,aptos,Aptos,Matched
GT,gatechain-token,Gate,Matched
AAVE,aave,Aave,Matched
PI,pchain,Plian,Matched
XPL,plasma,Plasma,Matched
OKB,okb,OKB,Matched
ARB,arbitrage-loop,Arbitrage Loop,Matched
PYUSD,paypal-usd,PayPal USD,Matched
USD1,usd1,USD1 [Old],Matched
JUP,jupiter,Jupiter Project,Matched
NEAR,binance-peg-near-protocol,Binance-Peg NEAR Protocol,Matched
PEPE,baby-pepe-5,BABY PEPE,Matched
H,h,H,Matched
JITOSOL,jito-staked-sol,Jito Staked SOL,Matched
ETC,ethereum-classic,Ethereum Classic,Matched
MYX,myx-finance,MYX Finance,Matched
XDC,xdce-crowd-sale,XDC Network,Matched
XAUT,tether-gold,Tether Gold,Matched
ICP,internet-computer,Internet Computer,Matched
MORPHO,morpho,Morpho,Matched
POL,katana-bridged-pol-katana,Katana Bridged POL (Katana),Matched
KCS,kucoin-shares,KuCoin,Matched
ALGO,algorand,Algorand,Matched
2Z,doublezero,DoubleZero,Matched
AGI,agently,Agently,Matched
OP,one-play,One Play,Matched
SEI,layerzero-bridged-sei,LayerZero Bridged Sei,Matched
AERO,aerodrome-finance,Aerodrome Finance,Matched
FLR,flare-networks,Flare,Matched
0G,zero-gravity,0G,Matched
ZRO,layerzero,LayerZero,Matched
CBETH,coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,Matched
VIRTUAL,virtual-protocol,Virtuals Protocol,Matched
EIGEN,eigenlayer,EigenCloud (prev. EigenLayer),Matched
ENS,ethereum-name-service,Ethereum Name Service,Matched
ATOM,cosmos,Cosmos Hub,Matched
PAXG,eureka-bridged-pax-gold-terra,Eureka Bridged PAX Gold (Terra),Matched
KAS,kaspa,Kaspa,Matched
VET,vechain,VeChain,Matched
SKY,darkcrypto-share,DarkCrypto Share,Matched
PENGU,penguiana,Penguiana,Matched
TWT,trust-wallet-token,Trust Wallet,Matched
FF,falcon-finance-ff,Falcon Finance,Matched
BONK,based-bonk,Based Bonk,Matched
QNT,quant-network,Quant,Matched
VENOM,venom,Venom,Matched
WAL,walrus-2,Walrus,Matched
NEXO,nexo,NEXO,Matched
ATH,aethir,Aethir,Matched
STRK,starknet,Starknet,Matched
FIL,binance-peg-filecoin,Binance-Peg Filecoin,Matched
DASH,dash,Dash,Matched
CRV,bridged-curve-dao-token-stargate,Bridged Curve DAO Token (Stargate),Matched
TIA,celestia,Celestia,Matched
FDUSD,first-digital-usd,First Digital USD,Matched
PYTH,pyth-network,Pyth Network,Matched
USDG,global-dollar,Global Dollar,Matched
LION,king-of-meme,King Of Meme,Matched
RLUSD,ripple-usd,Ripple USD,Matched
RENDER,render-token,Render,Matched
KAITO,kaito,KAITO,Matched
IMX,immutable-x,Immutable,Matched
ETHFI,ether-fi,Ether.fi,Matched
METH,etherbutts,ETHERBUTTS,Matched
CAKE,pancakeswap-token,PancakeSwap,Matched
BERA,berachain-bera,Berachain,Matched
JTO,jito-governance-token,Jito,Matched
MX,mx69420,MX69420,Matched
RAY,raydium,Raydium,Matched
LDO,lido-dao,Lido DAO,Matched
BDX,baby-dragonx,Baby DragonX,Matched
PENDLE,pendle,Pendle,Matched
SOSO,sosovalue,SoSoValue,Matched
SAHARA,sahara-ai,Sahara AI,Matched
