date,rank,name,symbol,market_cap_usd
2020-01-01,1,Bitcoin,BTC,130580829149.59
2020-01-01,2,Ethereum,ETH,14271059633.08
2020-01-01,3,XRP,XRP,8349802256.49
2020-01-01,4,Tether,USDT,4107371140.39
2020-01-01,5,Bitcoin Cash,BCH,3719917644.43
2020-01-01,6,Litecoin,LTC,2679229283.81
2020-01-01,7,EOS,EOS,2459275339.82
2020-01-01,8,Binance Coin,BNB,2129155037.08
2020-01-01,9,Bitcoin SV,BSV,1756282440.14
2020-01-01,10,Tezos,XTZ,951188893.5
2020-01-01,11,Stellar,XLM,911500591.59
2020-01-01,12,TRON,TRX,883513371.29
2020-01-01,13,Cardano,ADA,867464516.2
2020-01-01,14,Cosmos,ATOM,835245526.83
2020-01-01,15,UNUS SED LEO,LEO,819549223.54
2020-01-01,16,Monero,XMR,795254585.54
2020-01-01,17,Huobi Token,HT,679442489.1
2020-01-01,18,Chainlink,LINK,632324085.53
2020-01-01,19,Neo,NEO,624197830.8
2020-01-01,20,999,999,610270984.21
2020-01-01,21,MINDOL,MIN,529291519.13
2020-01-01,22,Ethereum Classic,ETC,523734646.94
2020-01-01,23,USD Coin,USDC,516992414.51
2020-01-02,1,Bitcoin,BTC,126699395235.2
2020-01-02,2,Ethereum,ETH,13902505466.24
2020-01-02,3,XRP,XRP,8149376227.91
2020-01-02,4,Tether,USDT,4114474717.25
2020-01-02,5,Bitcoin Cash,BCH,3561934034.71
2020-01-02,6,Litecoin,LTC,2539554280.97
2020-01-02,7,EOS,EOS,2331925310.92
2020-01-02,8,Binance Coin,BNB,2026178425.74
2020-01-02,9,Bitcoin SV,BSV,1677433933.61
2020-01-02,10,Stellar,XLM,884665837.81
2020-01-02,11,Tezos,XTZ,861516905.19
2020-01-02,12,TRON,TRX,858205201.52
2020-01-02,13,Cardano,ADA,849142417.41
2020-01-02,14,UNUS SED LEO,LEO,821407994.92
2020-01-02,15,Monero,XMR,795254542.94
2020-01-02,16,Cosmos,ATOM,780262139.63
2020-01-02,17,Huobi Token,HT,663187016.03
2020-01-02,18,Chainlink,LINK,609400277.76
2020-01-02,19,Neo,NEO,599152619.68
2020-01-02,20,999,999,594261799.99
2020-01-02,21,USD Coin,USDC,517456713.14
2020-01-02,22,MINDOL,MIN,502022655.41
2020-01-02,23,Ethereum Classic,ETC,495016399.03
2020-01-03,1,Bitcoin,BTC,133233444755.49
2020-01-03,2,Ethereum,ETH,14642130119.66
2020-01-03,3,XRP,XRP,8386800449.04
2020-01-03,4,Tether,USDT,4125267217.84
2020-01-03,5,Bitcoin Cash,BCH,4048583336.32
2020-01-03,6,Litecoin,LTC,2705193552.07
2020-01-03,7,EOS,EOS,2498294605.47
2020-01-03,8,Binance Coin,BNB,2124701779.87
2020-01-03,9,Bitcoin SV,BSV,1853999319.63
2020-01-03,10,Stellar,XLM,907150288.35
2020-01-03,11,TRON,TRX,895850740.59
2020-01-03,12,Tezos,XTZ,890109980.32
2020-01-03,13,Monero,XMR,888197073.52
2020-01-03,14,Cardano,ADA,886177804.06
2020-01-03,15,UNUS SED LEO,LEO,851052242.18
2020-01-03,16,Cosmos,ATOM,810024888.13
2020-01-03,17,Huobi Token,HT,686500587.35
2020-01-03,18,Chainlink,LINK,633397910.96
