symbol,date,time,active_addresses,average_transaction_value,new_addresses,transaction_count,open,high,low,close,volumefrom,volumeto,market_cap_usd,rank,name
AAC,2020-06-29,1593388800.0,335.0,7267.08271310123,46.0,1551.0,0.0,0.0,0.0,0.0,0.0,0.0,25950241.86,196.0,Acute Angle Cloud
ABT,2020-11-30,1606694400.0,34.0,10683.2504440201,8.0,31.0,0.08536,0.0918,0.08343,0.08441,4599821.59,388276.37,8269215.56,167.0,Arcblock
ABT,2024-05-02,1714608000.0,337.0,3373.20155603168,85.0,553.0,2.466,3.05,2.451,3.008,1868052.1,5165624.29,295653707.85,200.0,Arcblock
ABT,2024-05-03,1714694400.0,585.0,3506.58589202683,140.0,1001.0,3.008,3.8,2.85,3.513,3640272.7,12441155.51,347746089.33,185.0,Arcblock
ABT,2024-05-04,1714780800.0,332.0,4461.61580042005,110.0,554.0,3.513,3.825,3.226,3.345,1717566.8,6092186.37,329833490.32,194.0,Arcblock
ABT,2024-05-05,1714867200.0,299.0,5099.91721388567,78.0,400.0,3.345,3.459,3.115,3.197,934333.6,3043734.36,314571877.23,200.0,Arcblock
ABT,2024-05-06,1714953600.0,194.0,7152.38382589048,49.0,277.0,3.197,3.478,3.123,3.301,676648.2,2221133.2,325567334.22,194.0,Arcblock
ABT,2024-05-07,1715040000.0,217.0,6227.91174219884,50.0,281.0,3.301,3.317,3.061,3.1,589331.2,1873846.4,306051077.47,200.0,Arcblock
ABT,2024-05-08,1715126400.0,251.0,4499.41019197959,80.0,500.0,3.1,3.458,2.962,3.212,1379247.4,4355535.05,315267516.46,195.0,Arcblock
ABT,2024-05-09,1715212800.0,242.0,1340.08412173392,78.0,300.0,3.212,3.3,3.02,3.204,1089637.9,3453235.19,314279022.26,199.0,Arcblock
ABT,2024-05-11,1715385600.0,151.0,4784.64958300049,39.0,173.0,3.028,3.128,2.951,3.018,384145.1,1165323.81,297263443.98,200.0,Arcblock
ABT,2024-05-13,1715558400.0,218.0,2550.81951172432,48.0,336.0,2.946,3.6,2.854,3.175,1469578.2,4782408.51,312544532.4,193.0,Arcblock
ABT,2024-05-14,1715644800.0,472.0,4740.60117370777,96.0,799.0,3.175,4.0,3.116,3.975,2442593.9,8937064.38,390295365.5,151.0,Arcblock
ABT,2024-05-15,1715731200.0,581.0,5481.48162652167,136.0,894.0,3.975,4.145,3.626,3.77,2289839.4,8877675.76,370669906.67,171.0,Arcblock
ABT,2024-05-16,1715817600.0,275.0,9807.51023195631,89.0,405.0,3.77,4.258,3.672,4.135,1118910.2,4452079.29,406455911.99,158.0,Arcblock
ABT,2024-05-17,1715904000.0,365.0,4982.0472532484,102.0,563.0,4.135,4.45,3.802,4.176,1389735.0,5794832.69,412717791.9,158.0,Arcblock
ABT,2024-05-18,1715990400.0,257.0,4600.96171442762,69.0,367.0,4.176,4.259,3.941,4.035,521986.0,2143552.99,397902073.0,166.0,Arcblock
ABT,2024-05-19,1716076800.0,281.0,2570.46698547879,86.0,430.0,4.035,4.585,3.952,4.222,847491.5,3611567.94,415839438.97,159.0,Arcblock
ABT,2024-05-20,1716163200.0,260.0,7290.92258964517,70.0,434.0,4.222,4.6,4.13,4.349,1028787.1,4501580.05,426853214.15,165.0,Arcblock
ABT,2024-05-21,1716249600.0,304.0,1763.08527901863,97.0,392.0,4.349,4.731,4.302,4.673,832369.8,3786110.63,459019505.83,155.0,Arcblock
ABT,2024-05-22,1716336000.0,282.0,2027.17712641288,81.0,354.0,4.673,4.7,4.355,4.394,575702.3,2614879.45,432376720.74,164.0,Arcblock
ABT,2024-05-23,1716422400.0,360.0,3406.00547114676,81.0,574.0,4.394,4.471,4.0,4.107,1539544.6,6422602.21,406676286.48,177.0,Arcblock
ABT,2024-05-24,1716508800.0,332.0,2761.42964417379,87.0,444.0,4.107,4.118,3.93,4.011,555172.0,2237984.57,396203654.41,181.0,Arcblock
ABT,2024-05-25,1716595200.0,289.0,2896.10307102904,83.0,422.0,4.011,4.599,3.95,4.207,848597.1,3621218.16,413264274.5,173.0,Arcblock
ABT,2024-05-26,1716681600.0,267.0,3576.42487023622,84.0,346.0,4.207,4.53,4.122,4.157,550848.6,2367900.12,409831074.23,174.0,Arcblock
ABT,2024-05-27,1716768000.0,355.0,3045.24046766639,65.0,371.0,4.157,4.292,4.079,4.232,541251.5,2259500.4,414418172.48,176.0,Arcblock
ABT,2024-05-28,1716854400.0,277.0,2411.53732418257,70.0,352.0,4.232,4.25,3.95,3.988,482658.1,1964652.94,392549866.41,180.0,Arcblock
ABT,2024-05-29,1716940800.0,259.0,2412.71355815375,65.0,367.0,3.988,4.264,3.951,4.055,412892.2,1688371.22,399615991.97,174.0,Arcblock
ABT,2024-05-30,1717027200.0,245.0,1750.2480974496,68.0,278.0,4.055,4.204,4.008,4.061,325192.8,1327893.47,400277498.54,174.0,Arcblock
ABT,2024-05-31,1717113600.0,232.0,4208.79013190709,49.0,293.0,4.061,4.129,3.95,4.075,374581.2,1504692.97,400922336.13,171.0,Arcblock
ABT,2024-06-01,1717200000.0,212.0,2612.63441583055,68.0,227.0,4.075,4.109,3.886,3.984,328563.0,1309004.7,394174623.53,176.0,Arcblock
ABT,2024-06-02,1717286400.0,233.0,1223.19546394473,52.0,271.0,3.984,4.014,3.796,3.888,398097.1,1549006.42,381588259.05,181.0,Arcblock
ABT,2024-06-03,1717372800.0,294.0,2910.86793071777,69.0,399.0,3.888,3.915,3.52,3.737,840323.5,3102557.35,370955010.6,184.0,Arcblock
ABT,2024-06-04,1717459200.0,242.0,1894.19113930213,61.0,277.0,3.737,3.84,3.59,3.753,486927.6,1802784.85,368372734.69,187.0,Arcblock
ABT,2024-06-05,1717545600.0,229.0,4365.3806655574,35.0,328.0,3.753,4.15,3.704,4.066,474956.7,1861614.55,400159338.6,180.0,Arcblock
ABT,2024-06-06,1717632000.0,172.0,2829.96406374867,46.0,227.0,4.066,4.075,3.85,3.968,288989.5,1136550.71,390854963.58,180.0,Arcblock
ABT,2024-06-07,1717718400.0,236.0,2924.64694013297,58.0,281.0,3.968,4.041,3.501,3.642,516215.6,1926990.1,359813564.77,182.0,Arcblock
ABT,2024-06-08,1717804800.0,236.0,2698.16430022666,48.0,277.0,3.642,3.759,3.526,3.645,228970.1,835704.15,357788060.59,174.0,Arcblock
ABT,2024-06-09,1717891200.0,212.0,1583.12648204168,47.0,243.0,3.645,3.715,3.465,3.666,389703.5,1388538.43,360780837.0,176.0,Arcblock
