symbol,rows
999,27
AAVE,87
ABBC,115
ACA,31
ADA,367
AIB,18
ALGO,356
AMP,2
AMPL,147
ANT,147
AOA,8
AR,46
ATOM,366
ATT,17
AUDIO,1
AVAX,51
BAL,74
BAND,142
BAT,367
BAY,23
BCD,245
BCH,367
BCN,4
BDX,7
BNB,367
BNT,79
BOND,1
BOTX,62
BPC,26
BPS,65
BRC,58
BSV,366
BTC,367
BTCB,1
BTG,361
BTM,87
BTRS,18
BTS,19
BTT,172
BTTOLD,1
BUSD,297
BZRX,9
BZT,11
CAKE,1
CBUCKS,1
CCXX,147
CEL,133
CELO,171
CENNZ,3
CFX,1
CHSB,41
CHZ,10
CKB,98
CNX,100
COMP,196
CRO,366
CRV,22
CTC,7
CTK,1
CVT,101
DAI,294
DASH,367
DCR,367
DEV,4
DFI,26
DGB,265
DGD,1
DGTX,1
DIA,1
DIVI,45
DMCH,23
DNA,84
DODO,1
DOGE,367
DOT,121
DX,83
EDC,6
EGLD,116
ELAMA,97
ELF,1
ENJ,269
EOS,367
ERC20,2
ERD,63
ETC,367
ETH,367
EURS,1
EVER,1
EWT,143
FAB,2
FET,4
FIL,101
FLG,59
FTM,1
FTT,365
FXC,75
GLM,2
GNO,16
GNT,52
GRT,15
GTN,15
GUSD,2
HBAR,324
HC,7
HEDG,363
HEX,158
HIVE,16
HMR,70
HNT,5
HOT,161
HT,367
HUSD,246
HYN,158
ICH,63
ICX,332
INB,143
INJ,1
INNBCL,1
INO,266
IOST,30
IRIS,4
JST,26
KAVA,31
KCS,48
KICK,6
KIN,3
KLAY,2
KMD,14
KNC,263
KNCL,1
KP3R,2
KSM,144
LEND,106
LEO,366
LINK,367
LPT,2
LRC,185
LRG,105
LSK,337
LTC,367
LUNA,165
LUNC,2
MAID,30
MANA,140
MATIC,18
MB,10
MIN,257
MIOTA,367
MKR,367
MLN,1
MOBI,9
MOF,18
MONA,152
MWC,130
MXM,5
NANO,244
NEAR,77
NEO,367
NEST,18
NEXO,121
NMR,110
NRG,6
NXM,136
OCEAN,149
OKB,366
OMG,301
ONT,367
OXT,29
PAX,363
PAXG,2
PHA,1
PLF,151
PNK,1
PZM,74
QNT,149
QTUM,367
RDD,1
REN,200
RENBTC,32
REP,350
REPV2,1
REV,117
REW,3
RIF,7
RLC,35
RSR,120
RUNE,89
RVN,283
SC,228
SEELE,7
SLP,1
SNT,85
SNX,352
SOL,61
SOLO,59
SRM,25
STAKE,1
STEEM,1
STO,16
STORJ,22
STP,33
STX,135
SURE,2
SUSHI,95
SWAP,2
SXP,95
TAGZ5,87
TFUEL,8
THETA,282
THR,111
THX,72
TMTG,140
TNC,126
TOMO,2
TRB,2
TRX,367
TUSD,367
UMA,137
UNI,105
USDC,366
USDN,1
USDP,3
USDT,367
UST,16
VEST,67
VET,366
VLX,45
VSYS,4
WAVES,303
WAXP,1
WBTC,172
XDC,1
XDCE,6
XEM,367
XET,44
XIN,58
XLM,367
XMR,367
XNO,1
XOR,1
XPR,1
XRP,367
XT,1
XTP,46
XTZ,367
XVG,104
YFI,157
YFII,35
ZB,344
ZEC,367
ZEN,55
ZIL,230
ZLW,92
ZRX,350
